"PLOT","REP","INSTN","ITW","DATESP","DORPD","NSP","LGLNSP","LGLATSP1","LGLATSP2","LGLATSP3","LGLATSP4","LGLATSP5","LGLATSP6","AVLGLATSP","THASP","THLSP1","THLSP2","AVTHSP","FTW","PW_SPT"
"90","5","CIP308328.89","18.5","2012-03-26","131.0","1.0","2.07","","","","","","","","2.05","","","","17.83","3.6216216216216313"
"91","1","CIP308328.29","1.8","2012-03-14","119.0","1.0","1.999","","","","","","","","2.12","","","","1.4","22.22222222222223"
"92","4","CIP308328.29","1.4","2012-03-14","119.0","1.0","2.0","","","","","","","","2.3","","","","1.2","14.285714285714283"
"93","1","CIP308328.19","8.0","2012-03-05","110.0","1.0","3.6","","","","","","","","2.6","","","","7.9","1.2499999999999956"
"94","2","CIP308328.19","5.9","2012-03-05","110.0","2.0","3.4","3.1","","","","","","3.1","3.0","3.0","","3.0","5.7","3.3898305084745792"
"95","3","CIP308328.19","6.7","2012-03-05","110.0","1.0","4.0","","","","","","","","2.8","","","","6.7","0.0"
"96","4","CIP308328.19","8.2","2012-03-05","110.0","1.0","4.6","","","","","","","","2.8","","","","8.1","1.219512195121947"
"97","5","CIP308328.19","7.2","2012-02-05","81.0","1.0","4.5","","","","","","","","2.9","","","","7.2","0.0"
"98","1","CIP308328.22","11.9","2012-02-08","84.0","1.0","8.7","","","","","","","","3.0","","","","9.8","17.647058823529406"
"99","2","CIP308328.22","11.6","2012-02-08","84.0","1.0","7.5","","","","","","","","2.0","","","","9.3","19.827586206896544"
"100","3","CIP308328.22","10.0","2012-02-08","84.0","1.0","6.9","","","","","","","","2.8","","","","7.6","24.000000000000004"
"101","4","CIP308328.22","11.9","2012-02-08","84.0","1.0","5.8","","","","","","","","2.6","","","","9.5","20.16806722689076"
"102","5","CIP308328.22","20.6","2012-02-08","84.0","1.0","4.9","","","","","","","","2.0","","","","17.8","13.59223300970874"
"103","1","CIP308328.63","3.4","2012-02-29","105.0","1.0","5.2","","","","","","","","2.0","","","","2.4","29.411764705882355"
"104","2","CIP308328.63","3.3","2012-02-29","105.0","1.0","3.5","","","","","","","","1.9","","","","2.3","30.303030303030305"
"105","3","CIP308328.63","5.4","2012-02-29","105.0","1.0","2.9","","","","","","","","1.5","","","","4.5","16.66666666666667"
"106","4","CIP308328.63","7.1","2012-02-29","105.0","1.0","4.8","","","","","","","","2.2","","","","6.1","14.084507042253522"
"107","1","CIP308328.55","7.2","2012-02-08","84.0","1.0","4.1","","","","","","","","2.9","","","","6.6","8.333333333333341"
"108","2","CIP308328.55","10.5","2012-02-08","84.0","1.0","2.3","","","","","","","","2.1","","","","9.9","5.714285714285711"
"109","3","CIP308328.55","11.6","2012-02-08","84.0","1.0","3.8","","","","","","","","4.2","","","","11.0","5.172413793103446"
"110","4","CIP308328.55","9.6","2012-02-08","84.0","2.0","7.4","6.5","","","","","","6.5","3.5","2.6","","2.6","8.9","7.29166666666666"
"111","5","CIP308328.55","10.3","2012-03-08","113.0","2.0","5.8","5.7","","","","","","5.7","3.1","3.0","","3.0","9.6","6.796116504854378"
"112","1","CIP308328.31","6.3","2012-03-02","107.0","2.0","4.3","3.1","","","","","","3.1","2.8","2.8","","2.8","5.9","6.349206349206341"
"113","2","CIP308328.31","12.1","2012-03-02","107.0","1.0","4.2","","","","","","","","2.5","","","","11.8","2.479338842975198"
"114","3","CIP308328.31","12.9","2012-03-02","107.0","1.0","4.5","","","","","","","","2.6","","","","12.8","0.7751937984496096"
"115","4","CIP308328.31","5.1","2012-03-02","107.0","1.0","3.6","","","","","","","","2.5","","","","4.7","7.843137254901951"
"116","5","CIP308328.31","12.9","2012-02-02","78.0","1.0","3.7","","","","","","","","2.4","","","","12.6","2.3255813953488427"
"117","1","CIP308328.131","1.7","2012-02-17","93.0","1.0","2.0","","","","","","","","1.5","","","","1.1","35.29411764705881"
"118","2","CIP308328.131","1.3","2012-02-17","93.0","1.0","2.5","","","","","","","","2.0","","","","0.7","46.15384615384615"
"119","3","CIP308328.131","1.5","2012-02-17","93.0","1.0","2.3","","","","","","","","2.1","","","","0.9","40.0"
"120","4","CIP308328.131","1.4","2012-02-17","93.0","1.0","2.0","","","","","","","","2.5","","","","0.8","42.85714285714285"
"121","5","CIP308328.131","1.0","2012-01-17","62.0","1.0","2.0","","","","","","","","2.1","","","","0.4","60.0"
"122","1","CIP308328.214","15.1","2012-01-26","71.0","2.0","10.03","7.63","","","","","","7.63","2.92","3.85","","3.85","14.06","6.887417218543041"
"123","2","CIP308328.214","11.4","2012-01-26","71.0","1.0","13.51","","","","","","","","3.29","","","","10.44","8.421052631578954"
"124","3","CIP308328.214","21.1","2012-01-26","71.0","3.0","12.84","6.9","6.18","","","","","6.54","3.48","4.47","2.84","3.655","19.61","7.061611374407592"
"125","4","CIP308328.214","8.8","2012-01-26","71.0","2.0","14.61","7.16","","","","","","7.16","2.4","2.6","","2.6","7.81","11.25000000000001"
"126","5","CIP308328.214","25.5","2012-02-26","102.0","1.0","11.15","","","","","","","","7.84","","","","22.32","12.470588235294116"
"127","1","CIP308328.229","1.7","2012-02-08","84.0","1.0","3.5","","","","","","","","1.5","","","","0.7","58.82352941176471"
"128","2","CIP308328.229","2.92","2012-02-08","84.0","1.0","3.2","","","","","","","","2.0","","","","1.9","34.93150684931507"
"129","3","CIP308328.229","2.6","2012-02-08","84.0","1.0","3.6","","","","","","","","2.0","","","","1.6","38.46153846153846"
"130","4","CIP308328.229","2.5","2012-02-08","84.0","1.0","2.5","","","","","","","","2.0","","","","1.5","40.0"
"131","5","CIP308328.229","2.9","2012-02-08","84.0","1.0","2.6","","","","","","","","1.5","","","","1.4","51.724137931034484"
"132","1","CIP308328.164","9.9","2012-02-08","84.0","2.0","6.8","4.6","","","","","","4.6","2.3","2.8","","2.8","8.4","15.151515151515152"
"133","2","CIP308328.164","11.3","2012-02-08","84.0","1.0","5.3","","","","","","","","2.5","","","","10.2","9.734513274336296"
"134","3","CIP308328.164","10.1","2012-02-08","84.0","1.0","6.2","","","","","","","","2.6","","","","9.6","4.9504950495049505"
"135","4","CIP308328.164","7.2","2012-02-08","84.0","1.0","4.9","","","","","","","","2.5","","","","6.6","8.333333333333341"
"136","5","CIP308328.164","8.9","2012-02-08","84.0","1.0","5.2","","","","","","","","2.4","","","","7.8","12.359550561797757"
"137","1","CIP308328.112","5.0","2012-02-17","93.0","1.0","4.6","","","","","","","","4.6","","","","4.6","8.000000000000007"
"138","2","CIP308328.112","7.9","2012-02-17","93.0","1.0","5.5","","","","","","","","5.5","","","","7.6","3.797468354430389"
"139","3","CIP308328.112","8.0","2012-02-17","93.0","1.0","5.9","","","","","","","","5.9","","","","7.5","6.25"
"140","5","CIP308328.112","5.3","2012-01-17","62.0","1.0","5.6","","","","","","","","5.6","","","","4.9","7.547169811320745"
"141","1","CIP308328.205","28.1","2012-01-26","71.0","2.0","5.81","6.42","","","","","","6.42","2.49","2.25","","2.25","26.34","6.263345195729543"
"142","2","CIP308328.205","19.1","2012-01-26","71.0","2.0","11.37","5.46","","","","","","5.46","2.31","2.06","","2.06","18.19","4.7643979057591626"
"143","3","CIP308328.205","20.4","2012-01-26","71.0","1.0","8.68","","","","","","","","3.1","","","","19.36","5.098039215686271"
"144","4","CIP308328.205","19.9","2012-01-26","71.0","1.0","7.49","","","","","","","","3.39","","","","19.06","4.221105527638191"
"145","5","CIP308328.205","17.9","2012-01-26","71.0","2.0","5.74","5.01","","","","","","5.01","2.66","2.31","","2.31","17.07","4.636871508379879"
"146","1","CIP308328.170","22.4","2012-01-26","71.0","1.0","6.2","","","","","","","","3.34","","","","21.1","5.803571428571416"
"147","2","CIP308328.170","28.7","2012-01-26","71.0","2.0","10.45","5.25","","","","","","5.25","2.85","2.81","","2.81","26.88","6.3414634146341475"
"148","3","CIP308328.170","49.1","2012-01-26","71.0","1.0","12.5","","","","","","","","7.13","","","","46.56","5.173116089613033"
"149","4","CIP308328.170","34.8","2012-01-26","71.0","1.0","7.2","","","","","","","","4.34","","","","33.32","4.252873563218382"
"150","5","CIP308328.170","52.2","2012-01-26","71.0","1.0","8.79","","","","","","","","5.78","","","","50.47","3.3141762452107355"
"151","1","CIP308328.166","18.9","2012-01-26","71.0","1.0","6.28","","","","","","","","3.96","","","","17.92","5.185185185185169"
"152","2","CIP308328.166","23.3","2012-01-26","71.0","1.0","5.02","","","","","","","","2.44","","","","22.29","4.33476394849786"
"153","3","CIP308328.166","20.6","2012-01-26","71.0","1.0","5.91","","","","","","","","6.86","","","","19.45","5.582524271844671"
"154","4","CIP308328.166","26.3","2012-01-26","71.0","1.0","6.86","","","","","","","","3.85","","","","25.53","2.9277566539923936"
"155","5","CIP308328.166","33.6","2012-02-26","102.0","1.0","5.04","","","","","","","","3.65","","","","32.49","3.3035714285714266"
"156","1","CIP308328.100","30.8","2012-02-01","77.0","6.0","3.1","3.0","3.0","2.0","2.0","2.0","","2.4","4.5","4.0","3.9","3.95","29.7","3.571428571428576"
"157","2","CIP308328.100","67.4","2012-02-01","77.0","6.0","2.4","2.3","2.1","2.0","2.0","2.0","","2.08","3.5","3.1","3.0","3.05","63.4","5.934718100890217"
"158","3","CIP308328.100","53.3","2012-02-01","77.0","6.0","2.2","2.2","2.2","2.0","2.0","2.0","","2.08","3.5","3.2","3.0","3.1","50.7","4.878048780487795"
